branch_name, premises_phone, premises_fax, email, website, premises_address, premises_suburb, premises_state, local_beach, premises_postcode
Misc SA Clubs, 08 8386 0873, 08 8386 0864, secretary@moanaslsc.com.au, www.moanaslsc.com.au, The Esplanade, Moana, SA, Moana,5169
South Coast Branch (NSW), 02 4455 2725, , admin@mollymooksurf.com.au, www.mollymooksurf.com.au, Ocean Street, Mollymook, NSW, Mollymook,2539
Sydney Northern Beaches Branch, (02)99993614, , admin@monavaleslsc.org.au, www.monavaleslsc.org.au, 1 Surfview Road, MONA VALE, NSW, Mona Vale Beach,2103
Sunshine Coast Branch,754523737,754444999, lifesavers@thesurfclub.com.au, www.thesurfclub.com.au, The Esplanade, Mooloolaba, QLD, Mooloolaba,4557
Wide Bay Capricorn Branch, 07 4159 8274, , mooreparkslsc@bigpond.com, http://www.mooreparkslsc.com.au, 1 Surf Club Drive, Moore Park Beach, QLD, Moore Park,4670
Kingston (Area), 03 9580 3602, , info@mlsc.com.au, www.mlsc.com.au, Beach Road, Mordialloc, VIC, Mordialloc,3195
Life Saving Victoria, , , , , , , Unknown, , 
Peninsula (Area), 03 5975 8296, , admin@morningtonlsc.com, www.morningtonlsc.com, 1a Mills Beach, Mornington, VIC, Mills Beach,3931
Far South Coast Branch, 02 4474 2674, , president@moruyasurf.org.au, www.moruyasurf.org.au, Coronation Drive, Moruya Heads, NSW, Moruya (Heads) Beach,2537
Peninsula (Area), 03 5974 4140, , admin@mmlsc.com.au, www.mmlsc.com.au, The Esplanade, Mount Martha, VIC, Mount Martha Point,3934
Sunshine Coast Branch, 07 5448 7080, , admin@mudjimbasurf.com.au, www.mudjimbasurf.com.au, 20 Mudjimba Esplanade, Mudjimba, QLD, Mudjimba,4564
Misc WA Clubs, 08 9307 7766, , info@mullaloosurf.com.au, www.mullaloosurf.com.au, 11 Oceanside Promenade, Mullaloo, WA, Whitfords-Mullaloo Beach,6027
North Coast Branch, , , missmorro@hotmail.com, , 1 Main Beach Road, Nambucca Heads, NSW, Main Beach (Nambucca Heads)5,2448
Far South Coast Branch, 02 4476 1745, , naroomasurf@yahoo.com.au, www.naroomasurfclub.org.au, Ballingalla St, Narooma, NSW, Narooma Beach,2546
Sydney Northern Beaches Branch, 02 9913 7616, 02 9970 8838, admin@narrabeach.org.au, www.narrabeach.org.au, `Lions Park` Ocean Street, Narrabeen, NSW, Narrabeen Beach6,2101
Point Danger Branch, 07 5535 7264, , secretary@neptunerlsc.com, www.neptunerlsc.com, Tallebudgera Creek, Palm Beach, QLD, Tallebudgera Creek,4221
Hunter Branch, , , jameselliott.aus@gmail.com, www.newcastleslsc.com.au, Shortland Esplanade, Newcastle, NSW, Newcastle Beach,2300
Sydney Northern Beaches Branch, 02 9997 5116, , admin@newportsurfclub.com.au, www.newportsurfclub.com.au, 394 Barrenjoey Road, Newport, NSW, Newport Beach,2106
South Coast Branch (Qld),755261117, , office@nobbysbeachslsc.com, , Cr Lavarack Rd and Albatross Ave, Nobby Beach, QLD, Nobbys Beach,4218
Hunter Branch, , , nobbysslsc1923@gmail.com, www.nobbysslsc.org.au, Cnr Nobbys Road and Shortland Esplanade, Newcastle, NSW, Nobbys Beach,2300
Sunshine Coast Branch, 07 5448 0900, 07 5448 0866, admin@noosasurfclub.com.au, http://www.noosasurfclub.com.au, 69 Hasting Street, Noosa Heads, QLD, Noosa,4567
Misc SA Clubs,885582699, , info@normanvilleslsc.org.au, www.normanvilleslsc.org.au, Beachfront- Jetty Road, Normanville, SA, Normanville,5204
Central Coast Branch,24384360, , office@northavocaslsc.com.au, www.northavoca.com.au, North Avoca Parade, North Avoca, NSW, North Avoca,2260
Surf Life Saving QLD, 07 47662200, 07 4774 1144, nbbslsq@lifesaving.com.au, www.nbbsurflifesaving.com.au, 5 Marlow Street, Pallarenda, QLD, ,4810
Sydney Branch, 02 9130 7677, , office@northbondisurfclub.com, www.northbondisurfclub.com, Cnr Ramsgate Ave and Campbell Pde, NORTH BONDI, NSW, North Bondi Beach,2026
South Coast Branch (Qld), 07 5576 1604, 07 5576 2016, office@northburleighslsc.com.au, www.northburleighslsc.com.au, Cnr Kratzmann Ave and The Esplanade, Miami, QLD, North Burleigh,4220
Surf Life Saving NSW, 02 66531700, , presidentslsnc@bigpond.com, www.slsnorthcoast.com, 45 Fourth Avenue, Sawtell, NSW, ,2452
Misc WA Clubs, 08 9284 2626, , office@ncslsc.com, www.ncslsc.com, 151 Marine Parade, Cottesloe, WA, Cottesloe,6011
Sydney Branch, 02 9523 5846, 02 9544 0021, admin@northcronullaslsc.com.au, www.northcronullaslsc.com.au, Corner Prince Street and Mitchell Road, Cronulla, NSW, North Cronulla Beach,2230
Sydney Northern Beaches Branch, 02 9905 8671, , administration@nccslsc.com.au, www.nthcurlcurlslsc.com.au, Huston Parade, North Curl Curl, NSW, North Curl Curl Beach,2099
Central Coast Branch, 02 4334 3755, , neslsc@yahoo.com.au, www.northentranceslsc.com.au, 77 Hutton Rd, The Entrance North, NSW, Tuggerah/North Entrance Beach,2261
Misc SA Clubs, , , general@northhavenslsc.com.au, www.northhavenslsc.com.au, 44 Australia II Drive, North Haven, SA, North Haven,5018
Point Danger Branch, 07 5536 2876, 07 5536 2174, surfclub@northkirra.com.au, , Pacific Parade, Coolangatta, QLD, North Kirra,4225
Sydney Northern Beaches Branch, 02 9913 8810, 02 9970 6936, admin@northnarra.org.au, www.northnarra.org.au, 2 Malcolm Street, North Narrabeen, NSW, North Narrabeen Beach,2101
Sydney Northern Beaches Branch, (02) 99741224, (02) 99741425, office@northpalmbeach.com.au, www.northpalmbeach.com.au, Governor Phillip Park, Palm Beach, NSW, North Palm Beach,2108
Sydney Northern Beaches Branch, 02 9977 6180, 02 9977 6227, admin@northsteyneslsc.com.au, www.northsteyneslsc.com.au, North Steyne, Manly, NSW, North Steyne,2095
Life Saving Victoria, , , , , , , Unknown, , 
Illawarra Branch, (02) 42297387, (02) 42294399, the_office@nwslsc.com.au, http://www.nwslsc.com, 1A Cliff Rd, North Wollongong, NSW, North Wollongong Beach,2500
South Coast Branch (Qld), 07 5539 8091, 07 5531 7071, info@northcliffesurfclub.com.au, http://www.bmdnorthcliffe.com.au/index.vm, Cnr Garfield Tce and Thornton St, Surfers Paradise, QLD, Northcliffe,4217
South Coast Branch (NSW), 02 4447 2038, , secretary@nowraculburraslsc.asn.au, nowraculburraslsc.asn.au, Farrant Avenue-, CULBURRA BEACH, NSW, Warrain Beach,2540
Central Coast Branch, 02 4344 2800, , office@oceanbeachslsc.com, oceanbeachslsc.com, 176 Trafalgar Avenue, UMINA BEACH, NSW, Ocean Beach,2257
Geelong (Area), 03 5255 1382, , honsecretary@oceangroveslsc.asn.au, www.oceangroveslsc.asn.au, Surf Beach Road, Ocean Grove, VIC, Ocean Grove,3226
Life Saving Victoria, , , , , , , Unknown, , 
Lower North Coast Branch, 02 6554 0468, , administration@pacificpalmsslsc.org.au, www.PacificPalmsSLSC.org.au, Lakeside Crescent, Pacific Palms, NSW, Elizabeth,2428
Point Danger Branch, 07 5535 0350, 07 5576 1857, office@pacificslsc.com, www.pacificslsc.com, 1291 Gold Coast Highway, Palm Beach, QLD, Pacific,4221
Sydney Northern Beaches Branch,299741288,299741167, office@palmbeachslsc.com, www.palmbeachslsc.com, 31-32 Ocean Rd, Palm Beach, NSW, Palm Beach,2108
Point Danger Branch, 07 5534 2180, 07 5598 4266, administrator@palmbeachsurfclub.com.au, www.palmbeachsurfclub.com.au, 117 Jefferson Lane, Palm Beach, QLD, Palm Beach,4221
Far South Coast Branch, 02 64956224, , secretary@pambulasurf.org.au, www.pambulasurf.org.au, Pambula Beach Road, Pambula Beach, NSW, Pambula Beach,2549
Misc TAS Clubs,364372639, , penguinlifesaving@bigpond.com, , Preservation Drive, Preservation Bay, TAS, Preservation Bay,7316
Sunshine Coast Branch,754481728,754482860, , , Kingfisher Drive, Peregian Beach, QLD, Peregian,4573
Surf Life Saving QLD, 07 5534 6077, 07 5598 2349, pdbsurf@slsqpointdanger.com.au, www.slsqpointdanger.com.au, Currumbin Creek Road, Currumbin, QLD, ,4223
Peninsula (Area), , , admin@pointleoslsc.com.au, www.pointleoslsc.com.au, Western Parade, Point Leo, VIC, Point Leo Surf,3916
Geelong (Area), 03 5258 1257, , info@pointlonsdaleslsc.asn.au, www.pointlonsdaleslsc.asn.au, (Clubrooms) 54 Ocean Road, Point Lonsdale, VIC, Point Lonsdale (Back) Surf,3225
South Coast Branch (Qld), 0428 771 377, , admin@pointlookoutslsc.com.au, http://www.pointlookoutslsc.com.au, 24 Kennedy Drive, Point Lookout, QLD, Point Lookout,4183
Misc WA Clubs, 08 9582 8727, , admin@portbouvardslsc.com.au, www.portbouvardslsc.com.au, Pyramids Beach, Dawesville, WA, Pyramids,6211
Western (Area),355986275,355986666, secretary@pcslsc.org.au, www.pcslsc.org.au, Cairns Street, PORT CAMPBELL, VIC, Port Campbell,3269
North Queensland Branch, 07 4099 5360, 07 4099 6324, pdslsc@bigpond.com, http://www.facebook.com/PortDouglasSurfLifesavingClub, The Esplanade, Port Douglas, QLD, Port Douglas (Four Mile),4877
Misc SA Clubs, 08 8554 3155, , peslsc01@bigpond.net.au, www.portelliotslsc.com.au, Horseshoe Bay, Port Elliot, SA, Port Elliot,5212
Western (Area), 03 5568 2246, , pfslsc@bigpond.com, www.portfairyslsc.org.au, Beach Street / Hughes Avenue, Port Fairy, VIC, Port Fairy,3284
Illawarra Branch, 0498 492 590, , noel.gracie@icloud.com, www.portkemblasurfclub.com.au, Lot 1 Cowper Street, PORT KEMBLA, NSW, Perkins,2505
Mid North Coast Branch,265831555, , secretary@pmslsc.com.au, http://www.pmslsc.com.au, 35 Tuppenny Road, Port Macquarie, NSW, Flynns Beach,2444
Port Phillip (Area), 03 9646 8773, 03 9646 8773, president@portmelblsc.com.au, www.portmelblsc.com.au, 38 Beaconsfield Parade, Port Melbourne, VIC, Port Melbourne,3207
Misc SA Clubs,883821376, , secretary.pnslsc@live.com.au, pnslsc.com.au, cnr Saltfleet St and Esplanade, Port Noarlunga, SA, Port Noarlunga,5167
Life Saving Victoria, , , , , , , Unknown, , 
Misc TAS Clubs, 03 6428 6324, , portsorellslc@gmail.com, http://www.portsorellsurflifesavingclub.com.au/, Freers Beach, Hawley Beach, TAS, Port Sorell,7307
Misc WA Clubs, , , portwalcottsls@gmail.com, , Boat Beach Rd, Wickham, WA, ,6720
Western (Area), 03 5526 7233, , portlandslsc@gmail.com, , Bridgewater Road, Cape Bridgewater, VIC, Bridgewater Bay Surf,3305
Peninsula (Area),423697734, , contact@portseasurf.com.au, www.portseasurf.com.au, Portsea Ocean Beach, Portsea, VIC, Portsea (Back),3944
Sydney Northern Beaches Branch, 02 99772326, , admin@queenscliffslsc.org.au, www.queensie.com, North Steyne Road, Manly, NSW, Queenscliff Beach,2095
Misc WA Clubs,893051870,893051874, quinnsmindarie@bigpond.com, www.quinnssurfclub.com, Cnr Ocean Drive and Quinns Road, Mindarie, WA, Quinns Rocks,6030
Point Danger Branch, 07 5536 6390, 07 5536 6365, admin@rainbowbayslsc.com, www.rainbowbayslsc.com, 2 Snapper Rocks Road, Coolangatta, QLD, Rainbow Bay,4225
Sunshine Coast Branch, 07 5486 3249, 07 5486 3017, surf@rainbowbeachsurf.com.au, www.rainbowbeachsurf.com.au, Wide Bay Esplanade, Rainbow Beach, QLD, Rainbow Beach,4581
North Coast Branch,419519906, , redrockslsc@bigpond.com, www.rrcslsc.org, Lawson Street, Red Rock, NSW, Red Rock (North),2456
Sunshine Coast Branch, 07 3284 4105, , redcliffeslsc@gmail.com, www.redcliffeslsc.com.au, Lot 1 Marine Parade, Redcliffe, QLD, Suttons-Margate,4020
Hunter Branch, 02 4942 6633, , redheads@redheadslsc.com, www.redheadslsc.com, Beach Road, REDHEAD, NSW, Redhead Beach,2290
Misc SA Clubs, , , sally@robehouse.com.au, , , , SA, , 
Peninsula (Area), 03 5986 1492, , baker7@bigpond.net.au, , Point Nepean Road, McCrae, VIC, Rosebud,3938
Surf Life Saving QLD, , , , , , , , , 
Far North Coast Branch,432483206, , secretary@saltsurfclub.com.au, www.saltsurfclub.com.au, Bells Boulevard- Salt Village, Kingscliff, NSW, BOGANGAR/CABARITA,2487
Illawarra Branch, , , secretary@sandonpointsurfclub.org.au, www.sandonpointsurfclub.org.au, Point Street, Bulli, NSW, Sandon Point Beach,2516
Port Phillip (Area), 03 9820 6313, 03 9820 4089, email@sandridge.org.au, www.sandridge.org.au, 240 The Boulevard, Port Melbourne, VIC, Sandridge,3207
Bayside (Area), 03 9598 2340, , president@sandringhamlsc.com.au, , Beach Road, Sandringham, VIC, Sandringham,3191
North Barrier Branch, 07 49566476, , lifesaving@sarinasurfclub.com.au, www.sarinasurfclub.com.au, 2B Owen Jenkins Drive, Sarina Beach, QLD, Sarina,4737
North Coast Branch, , , secretary@sawtellsurfclub.com.au, www.sawtellsurfclub.com.au, Fourth Ave, SAWTELL, NSW, Sawtell Beach,2452
Misc TAS Clubs,363722966, , sallyy@skymesh.com.au, , Dune Street, Scamander, TAS, Wrinklers Beach,7215
Misc WA Clubs, 08 9341 1011, , adminofficer@scarboro.com.au, www.scarboro.com.au, The Esplanade, SCARBOROUGH, WA, Floreat-Scarborough-Trigg,6019
Illawarra Branch, , , info@scarboroughwombarraslsc.org, www.scarboroughwombarraslsc.org, Monash Street, Wombarra, NSW, Scarborough Beach,2515
Misc SA Clubs, , , tanyaevans7@bigpond.com, www.seacliffslsc.com.au, 248 Esplanade, Seacliff, SA, Seacliff,5049
Kingston (Area),412201152, 039562 9009, admin@seafordlsc.com.au, www.seafordlsc.com.au, Nepean Highway (Opp. Station Street), Seaford, VIC, Seaford,3198
Gippsland (Area), , 03 5144 3416, graceduffield@ymail.com, www.seasprayslsc.com, Foreshore Road / Lyon Street, Seaspray, VIC, Seaspray,3851
Misc WA Clubs, 08 9524 7092, , admin@secretharbourslsc.com, www.secretharbourslsc.com, Palermo Cove, Secret Harbour, WA, Secret Harbour,6173
Misc SA Clubs,884498088, , sslsc@bigpond.net.au, www.semaphoreslsc.com.au, Point Malcolm Reserve- Military Rd, SEMAPHORE PARK, SA, Semaphore,5019
South Coast Branch (NSW), 0242 966211, , info@shellharboursurfclub.com, www.shellharboursurfclub.com, Corner Wollongong and Beach Street, Shellharbour, NSW, Shellharbour North/Nuns Beach,2529
Central Coast Branch, 4332 1623, , blondenz@optusnet.com.au, www.shellybeachsurfclub.com, 75 Shelly Beach Road, SHELLY BEACH, NSW, Shelly Beach,2261
South Coast Branch (NSW), 02 4448 7293, , secretary@headssurf.com.au, www.headssurf.com.au, McIntosh St, Shoalhaven Heads, NSW, Seven Mile Beach,2535
Surf Life Saving QLD, , , , www.sls.com.au, , , Unknown, , 
SLSA Events Branch, 02 9215 8000, , events@slsa.asn.au, www.sls.com.au, North KirraSLSC, Bilinga, QLD, North Kirra,4225
Surf Life Saving QLD Misc Branch, , , , , , , Unknown, , 
Misc WA Clubs, , , admin@sbslsc.com.au, www.sbslsc.com.au, Smiths Beach Road, Yallingup, WA, Smiths Beach,6282
Central Coast Branch, 02 4396 4376, , admin@soldiersbeachsurfclub.com.au, www.soldiersbeachsurfclub.com.au, Soldiers Point Drive, NORAH HEAD, NSW, Soldiers Beach,2263
Misc TAS Clubs, 03 6435 1627, , somersetslsc@slst.asn.au, , Esplanade, Somerset, TAS, Somerset Beach,7322
Misc SA Clubs, 08 8298 7112, , info@somertonslsc.org.au, www.somertonsurfclub.com.au, Cnr Repton Road and Esplanade, Somerton Park, SA, Somerton,5044
Misc WA Clubs, 08 9448 1431, , admin@sorrentoslsc.org.au, www.soslsc.com, 189 West Coast Drive, Sorrento, WA, Sorrento Beach,6020
Peninsula (Area), , , lifesaving@sorrentoslsc.com, www.sorrentoslsc.com, 250 Ocean Bech Road, Sorrento, VIC, Sorrento Ocean (Back),3943
Life Saving Victoria, , , , , , , Unknown, , 
Surf Life Saving QLD, 07 5566 1000, 07 5535 3246, southcoastbranch@lifesaving.com.au, http://slsqsouthcoast.com.au/, 178 Hedges Avenue, Mermaid Beach, QLD, ,4218
Surf Life Saving NSW, , , scsls@bigpond.net.au, southcoastbranch.com.au, , , Unknown, , 
Sydney Northern Beaches Branch, 02 9938 5430, , mail@southcurlcurlslsc.org, www.southcurlcurlslsc.org, Carrington Parade, Curl Curl, NSW, South Curl Curl Beach,2096
Sydney Branch,293140070,293140090, info@southmaroubraslsc.com.au, www.southmaroubraslsc.com.au, 1 R Marine Pde Arthur Byrne Reserve, Maroubra, NSW, South Maroubra,2035
Port Phillip (Area),488065437, , registrar@southmelbournelsc.com.au, www.southmelbournelsc.com.au, Beaconsfield Parade (Opp Withers St), Albert Park, VIC, South Melbourne,3206
Sydney Northern Beaches Branch, 02 9971 1355, , secretary@snslsc.org.au, www.snslsc.org.au, 1200 Pittwater Rd, Narrabeen, NSW, South Narrabeen Beach,2101
Misc SA Clubs, , , mail@southportslsc.org.au, www.southportslsc.org.au/, Weatherald Terrace, Port Noarlunga South, SA, South Port,5167
Mid North Coast Branch, 02 6566 6590, , admin@swrslsc.org.au, www.swrslsc.org.au, Horseshoe Bay Reserve Livingstone St, South West Rocks, NSW, Front Beach,2431
Misc VIC Clubs, , , office@southernpeninsularescue.com.au, , , , Unknown, , 
South Coast Branch (Qld), 07 5665 3939, 07 5531 2217, admin@sslsc.com.au, www.sslsc.com.au, Macarthur Parade, Main Beach, QLD, Southport,4217
Port Phillip (Area), 03 9534 2014, , georgie.raby@gmail.com, www.stkildalifesavingclub.com.au, 34 Jacka Blvrd, St Kilda, VIC, St Kilda,3182
Hunter Branch, 02 4928 3562, , stocktonsurf@bigpond.com.au, www.stocktonsurfclub.com, Pitt Street, Stockton, NSW, Stockton Beach,2295
Sunshine Coast Branch, 07 5447 5491, 07 5447 2005, lifesaving@sunshinebeachslsc.com.au, www.sunshinebeachslsc.com.au, Cnr Belmore Terrace and Duke Street, Sunshine Beach, QLD, Sunshine,4567
Surf Life Saving QLD, 07 54141600, 07 54141650, ssbranch@lifesaving.com.au, www.rescuesunshinecoast.com, Lot 697 Parkyn Parade, Mooloolaba, QLD, ,4557
, 02 9215 8000, 02 9215 8180, info@slsa.asn.au, www.sls.com.au, 1 Notts Avenue, Bondi Beach, NSW, ,2026
Surf Life Saving NSW, 02 43530299, 02 43530298, office@slscc.com.au, www.slscc.com.au, 7-4 Teamster Close, Tuggerah, NSW, ,2259
Surf Life Saving NSW, 02 4228 3884, 02 4226 9080, office@slsillawarra.com.au, www.slsillawarra.com.au, 64 Smith St, Wollongong, NSW, ,2500
Surf Life Saving NSW, , , joanne.is@bigpond.com, www.slsmnc.com.au, Central Road, Port Macquarie, NSW, ,2444
Surf Life Saving Australia,294718000,294718001, experts@surflifesaving.com.au, www.surflifesaving.com.au, 3 Narabang Way, Belrose, NSW, ,2085
Surf Life Saving Australia, 08 8985 6588, 08 8985 4737, surf@lifesavingnt.com.au, www.lifesavingnt.com.au, Surf House 62 Aralia Street, Nightcliff, NT, ,810
Surf Life Saving NSW, , , experts@surflifesaving.com.au, www.surflifesaving.com.au, 3 Narabang Way, Belrose, NSW, ,2085
Surf Life Saving QLD, , , , http://www.lifesaving.com.au, , , Unknown, , 
Surf Life Saving Australia, 07 3846 8000, 07 3846 8008, info@lifesaving.com.au, www.lifesaving.com.au, 18 Manning Street, South Brisbane, QLD, ,4101
Misc SA Clubs, , , , , , , , , 
Misc SA Clubs, 13 78 73, , surfcom@surflifesavingsa.com.au, www.surflifesavingsa.com.au, 2 Barcoo Road, West Beach, SA, ,5024
Sydney Northern Beaches Branch, 9913 8066, 9913 9066, enquiries@surflifesavingschool.com.au, www.surflifesavingschool.com.au, Unit 2 / 5 Vuko Place, Warriewood, NSW, ,2102
Surf Life Saving Australia, 08 8354 6900, 08 8354 6999, education@surflifesavingsa.com.au, www.surflifesavingsa.com.au, 2 Barcoo Road, West Beach, SA, ,5024
Surf Life Saving NSW, 9019 0722, 9019 0720, admin@surflifesavingsydney.com.au, www.surflifesavingsydney.com.au,16, Little Bay, NSW, ,2036
Surf Life Saving NSW, 02 9913 8066, 02 9913 9066, jen@surflifesaving.net.au, www.surflifesaving.net.au, Unit 9/1 Vuko Place, Warriewood, NSW, ,2102
Surf Life Saving Australia, 03 6222 6555, , slst@slst.asn.au, www.slst.asn.au, 16A Evans Street, Hobart, TAS, ,7000
Surf Life Saving Australia, (08) 92076666, (08) 92076699, mail@slswa.com.au, www.surflifesavingwa.com.au, 7 Delawney Street, Balcatta, WA, ,6021
Surf Life Saving QLD, 07 3846 8000, , slsfaccounts@slsfoundation.com.au, http://www.slsfoundation.com.au, 18 Manning Street, SOUTH BRISBANE, QLD, ,4101
Surf Life Saving QLD, 07 40491201, , northqueensland@lifesaving.com.au, , Lot 196 Leisure Park Rd, Smithfield, QLD, ,4878
Misc SA Clubs,83546900,83546999, davide@surfrescue.com.au, www.surfrescue.com.au, 219 Henley Beach Rd, Torrensville, SA, ,5031
South Coast Branch (Qld), 07 5531 5966, 07 5539 9466, admin@surfersparadiseslsc.com.au, www.surfersparadiseslsc.com.au, Cnr Halan St and The Esplanade, Surfers Paradise, QLD, Surfers Paradise,4217
South Coast Branch (NSW),244411239, , info@sussexinletslsc.com.au, http://sussexinletslsc.com.au, Pacificana Drive, Sussex Inlet, NSW, Cudmirrah Beach,2540
Misc WA Clubs,893840020, , administrator@swannysurfclub.org.au, http://www.swannysurfclub.org.au, 282 Marine Parade, Swanbourne, WA, Swanbourne,6010
Hunter Branch,249721642,249721643, swanseabelmont@bigpond.com, www.swanseabelmontslsc.com.au, Ungala Road, Blacksmiths, NSW, Blacksmiths Beach,2281
Surf Life Saving NSW Misc Branch, 9471-8000, , wetnwildsydney@surflifesaving.com.au, http://www.surflifesaving.com.au/get-involved/nippers/wetnwild-sydney-nippers-cl, 3 Narabang Way, Belrose, NSW, ,2085
Mid North Coast Branch,265820064, , admin@tackingpointslsc.com.au, www.tackingpointslsc.com.au, 40 Matthew Flinders Drive, Port Macquarie, NSW, Tacking Point/Lighthouse,2444
Point Danger Branch, 07 5576 5866, 07 5535 9886, admin@tallesurfclub.net.au, www.tallesurfclub.net.au, 1505 Gold Coast Highway, Palm Beach, QLD, Tallebudgera,4221
Sydney Branch, 9130 3967, , secretary@tamaramaslsc.org, www.tamaramaslsc.org, 1A Pacific Avenue, Tamarama, NSW, Tamarama Beach,2026
Wide Bay Capricorn Branch, 07 49737142, 07 49733637, secretary@tannumsurf.com.au, Facebook, Building 1 The Esplanade, Tannum Sands, QLD, Tannum Sands,4680
Lower North Coast Branch, , , president@tareeoldbarsurfclub.com.au, www.tareeoldbarsurfclub.com.au, Old Bar Road, OLD BAR, NSW, Old Bar,2430
Far South Coast Branch, 02 6494 1588, , tathraslsc@hotmail.com, www.tathrasurfclub.com.au, ANDY POOLE DRIVE, TATHRA, NSW, Tathra Beach,2550
Hunter Branch, , , maxinecook1210@yahoo.com.au, www.teagardenshawksnestslsc.com, 117 Booner Street - Cnr Bennett St, Hawks Nest, NSW, Bennetts,2324
Central Coast Branch,243856933,243856944, office@terrigalsurfclub.com, www.terrigalsurfclub.com, Terrigal Esplanade, Terrigal, NSW, Terrigal,2260
Central Coast Branch, 02 4334 2844, , waz_sue1@bigpond.com, www.theentranceslsc.com.au, Marine Parade, The Entrance, NSW, The Entrance,2261
Central Coast Branch, 024396 4047, , admin@thelakesslsc.com.au, www.thelakesslsc.com.au, Lot 525 Budgewoi Road, Budgewoi, NSW, Lakes Beach,2262
Illawarra Branch, 02 4267 3432, , info@thirroulsurfclub.com.au, www.thirroulsurfclub.com.au, The Esplanade, Thirroul, NSW, Thirroul Beach6,2515
Central Coast Branch, 02 4332 2411, , admin@tbslsc.com.au, www.toowoonsurfclub.com.au, Swadling Park Drive Off Bay Rd, Toowoon Bay, NSW, Toowoon Bay,2261
Surf Coast (Area), 03 5261 4110, 03 5261 4209, info@torquayslsc.com.au, www.torquayslsc.com.au, Surf Beach Drive, Torquay, VIC, Torquay,3228
North Barrier Branch, 0747 244 211, , admin@tpbslsc.com.au, www.tpbslsc.com.au, 80 The Strand, Townsville, QLD, Picnic Bay,4810
Illawarra Branch, 0404 134 012, , agervaise@towradgisurfclub.com.au, http://www.towradgisurfclub.com.au, 1 Murranar Rd, Towradgi, NSW, Towradgi,2518
Misc WA Clubs,894473556,894477633, tislsc@triggisland.com, www.triggisland.com, 360-362 West Coast Drive, Trigg, WA, Trigg Island,6029
Point Danger Branch, 07 5534 2888, 07 5534 4138, surfadmin@tugunslsc.com.au, www.tugunslsc.com.au, 29 O`Connor Street, Tugun, QLD, Tugun,4224
Point Danger Branch, 07 5536 6901, 07 5536 4207, thcslsc@bigpond.net.au, www.thcslsc.com.au, Marine Parade, Coolangatta, QLD, Greenmount,4225
Misc TAS Clubs,364252404, , a_eustace@hotmail.com, www.ulverstoneslsc.org, Beach Road, ULVERSTONE, TAS, Buttons Beach,7315
Central Coast Branch, 02 4342 0320, 02 4342 0320, admin@uminaslsc.org.au, www.uminaslsc.org.au, 509 Ocean Beach Road, Umina Beach, NSW, Umina Beach,2257
North Coast Branch,266556869, , mdoc@citycentre.com.au, www.urungaslsc.com.au, Hungry Head Road, Urunga, NSW, Hungry Head,2455
Bass (Area), 03 5663 7780, , secretary@vbslsc.org.au, www.vbslsc.org.au, Surf Drive, Venus Bay, VIC, Venus Bay,3956
Misc VIC Clubs, , , , , , , Unknown, , 
Misc VIC Clubs, , , , , , , , , 
Misc VIC Clubs, , , , , , , , , 
Misc VIC Clubs, 0419 233 999, , secretary@vmrmornington.com.au, www.vmrmornington.com.au, Cnr Drake Street and The Esplanade, Mornington, VIC, ,3931
Misc NT Clubs, , , tutinia@miwatj.com.au, , , Yirrkala, NT, Yirrkala,880
Central Coast Branch,243852322, , admin@wamberalsurfclub.com, www.wamberalsurfclub.com, 1 Dover Road, Wamberal, NSW, Wamberal,2260
Sydney Branch,295234343,295234491, clubhouse@wandaslsc.com.au, www.wandasurfclub.com, 2 Marine Esplanade, Cronulla, NSW, Wanda Beach,2230
Bass (Area), 03 5684 1276, , treasurer@waratahbeach.com.au, www.waratahbeach.com.au, 130 Beach Parade, Sandy Point, VIC, Sandy Point (Waratah Bay),3959
South Coast Branch (NSW),242964743, , info.warillasurf@gmail.com, www.warillasurf.org.au, 7 Osborne Pde, Warilla, NSW, Warilla Barrack,2528
Sydney Northern Beaches Branch, 02 9999 2213,2, info@warriewoodslsc.com.au, www.warriewoodslsc.com.au, NARRABEEN PARK PARADE, WARRIEWOOD, NSW, Warriewood Beach,2102
Western (Area), 03 5561 1790, 03 5560 5771, warrnamboolslsc@bigpond.com, www.warrnamboolslsc.org.au, 80 Pertobe Road, Warrnambool, VIC, Warrnambool,3280
Mid North Coast Branch, , , pkspksmith@yahoo.com.au, www.wbhslsc.org.au, 6 Beach Street, Bonny Hills, NSW, Rainbow Beach,2445
Misc SA Clubs, 8353 8503, , secretary@westbeachslsc.com.au, www.westbeachslsc.com.au, Corner Seaview and West Beach Roads, WEST BEACH, SA, West Beach,5024
Life Saving Victoria, , , , , , , Unknown, , 
Sydney Northern Beaches Branch, , , info@whalebeachsurfclub.org, www.whalebeachsurfclub.org, 227 Whale Beach Road, Whale Beach, NSW, Whale Beach,2107
Misc SA Clubs,886453499,886453499, su49344@bigpond.net.au, , Whyalla Foreshore, Whyalla, SA, Whyalla,5600
Surf Life Saving QLD, 07 41111000, 07 41533227, slswbc@lifesaving.com.au, www.slswbc.com.au, Level 1 62A Barolin Street, Bundaberg, QLD, ,4670
Port Phillip (Area), 03 9397 5493, , info@williamstownslsc.org.au, www.williamstownslsc.org.au, Gloucester Reserve 70 Esplanade, Williamstown, VIC, Williamstown,3016
