premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Riposte,Adelaide Hills,www.timknappstein.com.au,PO Box 256, Lobethal, SA 5241                        Adelaide Hills            SA            5241,(08) 8389 8149,(08) 8389 8178,Not,Tim Knappstein,2006,11 000,Not Available,
Riseborough Estate,Swan District,,Lot 21, Petersen Rise, off Mooliabeenee Road, Gingin, WA 6503                        Swan District            WA,(08) 9575 1211,(08) 9575 1211,Wed-Sun 10-4,Flying Fish Cove, Oakover Wines,1998,NA,Not Available,
Rising Dust Wines,Murray Darling,www.risingdustwines.com.au,PO Box 163, Gol Gol, NSW 2735                        Murray Darling            VIC,0400 790 309,(03) 5021 4235,Not,Bob Shields,2005,2000,Not Available,
Ringer Reef Wines,Alpine Valleys,www.ringerreef.com.au,6835 Great Alpine Road, Porepunkah, Vic 3740                        Alpine Valleys,(03) 5756 2805,Not Available,Fri-Mon, school and public hols 12-5,Bruce Holm,2001,1000,4.1 hectares,
RidgeView Wines,Hunter Valley,www.ridgeview.com.au,273 Sweetwater Road, Pokolbin, NSW 2320                        Hunter Valley            NSW,(02) 6574 7332,(02) 9534 5468,Wed-Sun 10-5,Darren Scott, Gary MacLean, Mark Woods,2000,2500,9 hectares,
Rigel Wines/Merricks General Store,Mornington Peninsula,www.merricksgeneralstore.com.au,3458 Frankston-Flinders Road, Merricks, Vic 3196                        Mornington Peninsula            VIC,(03) 5989 8088,(03) 5989 8022,At Merricks General Store,Peninsula Winemakers,1989,NA,Not Available,
Rileys of Eden Valley,Eden Valley,www.rileysofedenvalley.com.au,PO Box 71, Eden Valley, SA 5235                        Eden Valley            SA,(08) 8564 1029,(08) 8564 1029,Not,Peter Riley, Jo Irvine (Consultant),2006,2000,11.24 hectares,
Sally's Hill,Pyrenees,www.sallyspaddock.com.au,Redbank Winery, 1926 Sunraysia Highway, Redbank, Vic 3478                        Pyrenees            VIC,(03) 5467 7255,(03) 5467 3478,Mon?Sat 9?5, Sun 10?5,Neill Robb, Sasha Fair,1973,3500,10 hectares,
Salmon Run,Margaret River,www.salmonrunwines.com.au,c/- 288 Lorimer Street, Port Melbourne, Vic 3207 (postal)                        Margaret River            WA,(03) 9646 6666,(03) 9646 8383,Not,Flying Fish Cove (Damon Eastaugh),2008,3000,Not Available,
Salo Wines,Yarra Valley,www.salowines.com.au,28 Dorothy Street, Healesville, Vic 3777 (postal)                        Yarra Valley,(03) 5962 5331,Not Available,Not,Steve Flamsteed, Dave Mackintosh,2008,250,Not Available,
Salomon Estate,Southern Fleurieu,www.salomonwines.com,17 High Street, Willunga, SA 5171                        Southern Fleurieu            SA,0412 412 228,(08) 8323 8668,Not,Bert Salomon, Mike Farmilo,1997,6500,12.1 hectares,
Santolin Wines,Yarra Valley,www.santolinwines.com.au,c/- 21-23 Delaneys Road, South Warrandyte, Vic 3136             South Warrandyte            Yarra Valley            VIC            3136,0402 278 464,Not Available,Not,Adrian Santolin,2012,500,Not Available,
Sandstone,Margaret River,,Cnr Johnson Road/Caves Road, Wilyabrup, WA 6280                        Margaret River            WA,(08) 9755 6271,(08) 9755 6292,7 days 11-4,Jan McIntosh,1988,4000,Not Available,
Sanctuary Hill Vineyard,Bendigo,,PO Box 103, Harcourt, Vic 3453                        Bendigo            VIC,(03) 5474 3127,(03) 5474 3127,Not,Simon Moten,1999,500,Not Available,
Sandalyn Wilderness Estate,Hunter Valley,www.huntervalleyboutiques.com.au,162 Wilderness Road, Rothbury, NSW 2321                        Hunter Valley            NSW,(02) 4930 7611,(02) 4930 7611,7 days 10?5,Lindsay Whaling, John McGain,1988,4000,9 hectares,
Samuel's Gorge,McLaren Vale,www.gorge.com.au,193 Chaffeys Road, McLaren, SA 5171                        McLaren Vale            SA,(08) 8323 8651,(08) 8323 8673,7 days 11-5,Justin McNamee,2003,3500,10 hectares,
Sandy Farm Vineyard,Macedon Ranges,www.sandyfarm.com.au,99 Sandy Farm Road, Denver via Daylesford, Vic 3641                        Macedon Ranges            VIC,(03) 5348 7610,Not Available,W'ends 10-5,Peter Comisel,1988,600,2.5 hectares,
Savaterre,Beechworth,www.savaterre.com,PO Box 337, Beechworth, Vic 3747                        Beechworth            VIC,(03) 5727 0551,(03) 5727 0551,Not,Keppell Smith,1996,1500,Not Available,
Sawtooth Ridge,Southern Fleurieu,www.sawtoothridge.com.au,Lot 295 Waggon Road, Victor Harbor, SA 5211                        Southern Fleurieu            SA,(08) 8552 8450,(08) 8552 8450,7 days 9-5,Harry Duerden,1996,NA,Not Available,
Sautjan Vineyards,Macedon Ranges,www.s17.com.au,PO Box 1068, Irymple, Vic 3498                        Macedon Ranges            VIC,0417 530 908,(03) 5024 7401,Not,Damien Pitt,2006,2000,3.2 hectares,
This page is corked...,Macedon Ranges,www.s17.com.au,PO Box 1068, Irymple, Vic 3498                        Macedon Ranges            VIC,0417 530 908,(03) 5024 7401,Not,Damien Pitt,2006,2000,3.2 hectares,
Sailor Seeks Horse,Southern Tasmania,www.sailorseekshorse.com.au,102 Armstrongs Road, Cradoc, Tas 7109                        Southern Tasmania,0418 471120,Not Available,Not,Paul and Gilli Lipscombe,2010,400,6.5 hectares,
Salet Wines,Various,www.salet.com.au,12 Peel Street, Currarong, NSW 2540                        Various,0403 384 384,Not Available,By appt,Michael Salecich,2002,300,Not Available,
Sassafras Wines,Canberra District,www.sassafraswines.com.au,20 Grylls Crescent, Cook, ACT 2614 (postal)                        Canberra District,0476 413 974,Not Available,Not,Paul Starr, Hamish Young,2015,300,Not Available,
Saunders Springs Vineyard,McLaren Vale,www.saunderssprings.com.au,253 Binney Road, McLaren Vale, SA 5171                        McLaren Vale,(08) 8556 2714,Not Available,By appt,Hoare Consulting (Briony Hoare),1999,2250,4.4 hectares,
This page is corked...,McLaren Vale,www.saunderssprings.com.au,253 Binney Road, McLaren Vale, SA 5171                        McLaren Vale,(08) 8556 2714,Not Available,By appt,Hoare Consulting (Briony Hoare),1999,2250,4.4 hectares,
Sanguine Estate,Heathcote,www.sanguinewines.com.au,77 Shurans Lane, Heathcote, Vic 3523            Heathcote            Heathcote            VIC            3523,(03) 5433 3111,(03) 5433 3111,W'ends and public hols 10-5,Mark Hunter,1997,10 000,21.57 hectares,
Sarsfield Estate,Gippsland,www.sarsfieldestate.com.au,345 Duncan Road, Sarsfield, Vic 3875                        Gippsland            VIC,(03) 5156 8962,(03) 5156 8970,By appt,Dr Suzanne Rutschmann,1995,1000,2 hectares,
Saracen Estates,Margaret River,www.saracenestates.com.au,342 Murray Street Perth                        Margaret River            WA            6000,(08) 9486 9410,(08) 9755 6011,Mon-Fri 9-5,Clive Otto,1998,5000,Not Available,
Salem Bridge Wines,Adelaide Hills,,Salem Bridge Road, Lower Hermitage, SA 5131                        Adelaide Hills            SA,(08) 8380 5240,(08) 8380 5240,Not,Barry Miller,1989,300,Not Available,
Samson Hill Estate,Yarra Valley,,360 Eltham-Yarra Glen Road, Kangaroo Ground, Vic 3097                        Yarra Valley            VIC,(03) 9712 0715,(03) 9712 0815,7 days 10-6,Steven Sampson, Pago Sampson,1997,NA,Not Available,
Savina Lane Wines,Granite Belt,www.savinalanewines.com.au,90 Savina Lane, Severnlea, Qld 4380                        Granite Belt,(07) 4683 5377,Not Available,Wed-Sat 10-5,Mike Hayes,2012,800,3.5 hectares,
Sabella Vineyards,McLaren Vale,www.sabella.com.au,233 McMurtrie Road, McLaren Vale, SA 5171                        McLaren Vale            SA,0416 361 369,(08) 8323 8270,Not,Michael Petrucci,1999,7000,44.5 hectares,
`ese Vineyards,Southern Tasmania,www.esevineyards.com,1013/1015 Tea Tree Road, Tea Tree, Tas 7017                        Southern Tasmania            TAS,0417 319 875,Not Available,By appt,Winemaking Tasmania (Julian Alcorso),1994,3500,4.1 hectares,
Woodstock Wine Estate,McLaren Vale,www.woodstockwine.com.au,215 Douglas Gully Road, McLaren Flat, SA 5171                        McLaren Vale            SA            5171,(08) 8383 0156,(08) 8383 0437,7 days 10-5,Ben Glaetzer,1905,22 000,18.44 hectares,
"Heroes" Vineyard,Geelong,www.heroesvineyard.com,14 Deal Avenue, Jan Juc, Vic 3228 (postal)                        Geelong,0490 345 149,Not Available,Not,James Thomas,2016,950,3.9 hectares,
Woolshed Wines,Mudgee,,380 Horseflat Lane, Mullamuddy via Mudgee, NSW 2850                        Mudgee            NSW,(02) 6373 1299,(02) 6373 1299,7 days 10-5,David Lowe (Contract),1999,NA,Not Available,
WoodSmoke Estate,Pemberton,,Lot 2 Kemp Road, Pemberton, WA 6260                        Pemberton            WA,(08) 9776 0225,(08) 9776 0225,By appt,Julie White,1992,NA,Not Available,
Woodside Valley Estate,Margaret River,www.woodsidevalleyestate.com.au,Corner of Brash and Abbeys Farm Road,                        Margaret River            WA,(08) 9571 8800,(08) 9571 8844,Not,Kevin McKay, Tod Payne,1998,1800,19.4 hectares,
Woody Nook,Margaret River,www.woodynook.com.au,506 Metricup Road, Wilyabrup, WA 6280            Wilyabrup            Margaret River            WA            6280,(08) 9755 7547,(08) 9755 7007,7 days 10?4.30,Neil Gallagher, Craig Dunkerton,1982,7500,14.23 hectares,
Word of Mouth Wines,Orange,www.wordofmouthwines.com.au,42 Wallace Lane, Orange, NSW 2800                        Orange            NSW            2800,0429 533 316,Not Available,7 days 10.30-5,David Lowe, Liam Heslop, Will Rikard-Bell,1999,750,2.5 hectares,
Wordsworth Wines,Geographe,www.wordsworthwines.com.au,Cnr South Western Highway/Thompson Road, Harvey, WA 6220                        Geographe            WA,(08) 9733 4576,(08) 9733 4269,7 days 10-5,Lamont's (Digby Leddin, Rachael Robinson), Western Range Wines (Ryan Sudano),1997,5000,Not Available,
Wovenfield Wines,Geographe,www.wovenfield.com,Lot 1117 Henty Road, Dardanup, WA 6236                        Geographe            WA,(08) 9728 0317,(08) 9481 3076,W'ends 11-5,Damian Hutton, Rienne Buck,1997,600,16 hectares,
Scalawag Wines,Great Southern,www.scalawag.com.au,PO Box 743, West Perth, WA 6872                        Great Southern            WA,(08) 9322 5144,(08) 9322 5740,Not,Harewood Estate (James Kellie),1998,8000,64.8 hectares,
Scarborough Wine Co,Hunter Valley,www.scarboroughwine.com.au,179 Gillards Road, Pokolbin, NSW 2320                        Hunter Valley            NSW,(02) 4998 7563,(02) 4998 7786,7 days 9?5,Ian and Jerome Scarborough,1985,25 000,14 hectares,
Scott,Adelaide Hills,www.scottwines.com.au,102 Main Street, Hahndorf, SA 5245                        Adelaide Hills            SA            5245,(08) 8388 7330,Not Available,1st w'end of the month 11-5 or by appt,Sam Scott,2009,4000,Not Available,
Scarp Valley Vineyard,Perth Hills,,6 Robertson Road, Gooseberry Hill, WA 6076                        Perth Hills            WA,(08) 9454 5748,Not Available,By appt,Contract,1978,NA,Not Available,
Scaffidi Wines,Adelaide Zone,www.talunga.com.au,Talunga Cellars, 198 Torrens Valley Road, Gumeracha, SA 5233                        Adelaide Zone            SA,(08) 8389 1222,(08) 8389 1233,Wed-Sun   public hols 10.30-4.30,Vince Scaffidi,1994,2000,101.2 hectares,
Schindler Northway Downs,Mornington Peninsula,www.northwaydowns.com.au,437 Stumpy Gully Road, Balnarring, Vic 3926                        Mornington Peninsula            VIC,(03) 5983 1945,(03) 5983 1987,First w'end of month,Greg Ray (Contract),1996,250,6 hectares,
SC Pannell,McLaren Vale,www.scpannell.com.au,60 Olivers Road, McLaren Vale, SA 5171            McLaren Vale            McLaren Vale            SA            5171,(08) 8323 8000,(08) 8271 7113,7 days 11-5,Stephen Pannell,2004,20 000,22 hectares,
Scotchmans Hill,Geelong,www.scotchmans.com.au,190 Scotchmans Road, Drysdale, Vic 3222                        Geelong            VIC            3222,(03) 5251 3176,(03) 5253 1743,7 days 10.30-4.30,Robin Brockett, Marcus Holt,1982,50 000,40 hectares,
Scorpiiion,Various,www.scorpiiionwines.com.au,575 Royal Esplanade, Manly, Qld 4179                        Various            ACT,0409 551 110,(08) 8353 1562,Not,Pete Schell,2002,800,Not Available,
Schwarz Wine Company,Barossa Valley,www.schwarzwineco.com.au,PO Box 779, Tanunda, SA 5352                        Barossa Valley            SA,0417 881 923,(08) 8562 3534,At Artisans of Barossa,Jason Schwarz,2001,4500,Not Available,
Scion Vineyard and Winery,Rutherglen,www.scionvineyard.com,74 Slaughterhouse Road, Rutherglen, Vic 3685                        Rutherglen            VIC            3685,(02) 6032 8844,Not Available,7 days 10-5,Rowly Milhinch,2002,1650,3.2 hectares,
Schulz Vignerons,Barossa Valley,www.schulzwines.com.au,PO Box 121, Nuriootpa, SA 5355                        Barossa Valley            SA,(08) 8565 6257,(08) 8565 6257,By appt,Marcus Schulz, Neville Falkenberg (Consultant),2003,500,58.5 hectares,
Scorpo Wines,Mornington Peninsula,www.scorpowines.com.au,23 Old Bittern-Dromana Road, Merricks North, Vic 3926                        Mornington Peninsula            VIC,(03) 5989 7697,(03) 5989 7697,By appt,Paul Scorpo,1997,3500,9.64 hectares,
Scarpantoni Estate,McLaren Vale,www.scarpantoniwines.com,Scarpantoni Drive, McLaren Flat, SA 5171                        McLaren Vale            SA,(08) 8383 0186,(08) 8383 0490,Mon?Fri 9?5, w'ends and public hols 11.30-4.30,Michael and Filippo Scarpantoni, David Fleming,1979,37 000,40 hectares,
Schiller Vineyards,Barossa Valley,www.schillervineyards.com.au,Light Pass Road, Light Pass, SA 5355                        Barossa Valley            SA,(08) 8562 1258,(08) 8562 2560,By appt,Neville Falkenberg (Contract),1864,300,72.55 hectares,
Schubert Estate,Barossa Valley,www.schubertestate.com,26 Kensington Road, Rose Park, SA 5067            26 Kensington Road Rose Park, SA 5067            Barossa Valley            SA            5355,(08) 84311457,(08) 8562 4338,Mon-Fri 11-5,Steve Schubert,2000,4200,14 hectares,
Simon Lang Wines,Adelaide Zone,www.simonlangwines.com.au,Level 30, 91 King William Street, Adelaide, SA 5000 (postal)                        Adelaide Zone,(08) 7129 8183,Not Available,Not,Joanne Irvine,2008,NFP,Not Available,
Silk Hill,Northern Tasmania,,33 Deviot Road, Robigana, Tas 7275                        Northern Tasmania            TAS,(03) 6394 3383,(03) 6394 3383,By appt,Gavin Scott,1989,250,1.5 hectares,
Schild Estate Wines,Barossa Valley,www.schildestate.com.au,Cnr Barossa Valley Way/Lyndoch Valley Road, Lyndoch, SA 5351                        Barossa Valley            SA            5351,(08) 8524 5560,(08) 8524 4333,7 days 10-5,Scott Hazeldine,1998,40 000,163 hectares,
Singlefile Wines,Great Southern,www.singlefilewines.com,90 Walter Road, Denmark, WA 6333            Denmark            Great Southern            WA            6333,(08) 9840 9749,1300 884 087,7 days 11-5,Mike Garland, Coby Ladwig,2007,6000,3.75 hectares,
Wood Park,King Valley,www.woodparkwines.com.au,263 Kneebones Gap Road, Markwood, Vic 3678            17-19 Bobinwarrah Rd Milawa            King Valley            VIC            3678,(03) 5727 3778,(03) 5727 3682,At Milawa Cheese Factory 7 days 10-5,John Stokes,1989,7000,16 hectares,
Woodvale,Clare Valley,,PO Box 54, Watervale, SA 5453                        Clare Valley,0417 829 204,Not Available,Not,Kevin Mitchell,2014,3000,7 hectares,
Woods Crampton,Barossa Valley,www.woods-crampton.com.au,PO Box 417, Hamilton, NSW 2303                        Barossa Valley,0417 670 655,Not Available,Not,Nicholas Crampton, Aaron Woods,2010,30 000,Not Available,
WJ Walker Wines,Central Western Australia Zone,,Burns Road, Lake Grace, WA 6353                        Central Western Australia Zone            WA,(08) 9865 1969,Not Available,7 days 10-4,Porongurup Winery,1998,500,2 hectares,
George Wyndham,Hunter Valley,www.wyndhamestate.com,700 Dalwood Road, Dalwood, NSW 2335            Adelaide            Hunter Valley            SA            5001,(02) 4938 3444,Not Available,Not,Steve Meyer,1828,800 000,87 hectares,
Wyuna Park,Geelong,,105 Soho Road, Drysdale, Vic 3222 (postal)                        Geelong            VIC,(03) 5253 1348,(03) 5253 2801,By appt,Bill Sawyer,1998,100,2 hectares,
Wyanga Park,Gippsland,,Baades Road, Lakes Entrance, Vic 3909                        Gippsland            VIC,(03) 5155 1508,(03) 5155 1443,7 days 9?5,Damien Twigg,1970,3000,Not Available,
Wynwood Estate,Hunter Valley,www.wynwoodestate.com.au,310 Oakey Creek Road, Pokolbin, NSW 2320                        Hunter Valley            NSW            2320,(02) 4998 7885,Not Available,7 days 10-5,Peter Lane,2011,7000,28 hectares,
Whimwood Estate Wines,Blackwood Valley,www.whimwoodestatewines.com.au,2581 Balingup-Nannup Road            Nannup            Blackwood Valley            WA            6275,0417 003 235,Not Available,Not,Vigneron's - Maree Tinker & Steve JohnstoneWine Maker - Bernie Stanlake,2011,700,1.2 hectares,
Wynns Coonawarra Estate,Coonawarra,www.wynns.com.au,Memorial Drive, Coonawarra, SA 5263                        Coonawarra            SA,(08) 8736 2225,(08) 8736 2228,7 days 10?5,Sue Hodder, Sarah Pidgeon,1897,Not Available,Not Available,
Whistle Post,Coonawarra,www.whistlepost.com.au,PO Box 340, Coonawarra, SA 5263                        Coonawarra,0408 708 093,Not Available,Not,Contract,2012,5000,63 hectares,
White Stripes,Alpine Valleys,,179 Glenview Road, Yarra Glen, Vic 3775                        Alpine Valleys,0432 021 668,Not Available,Not,Callie Jemmeson,2015,900,Not Available,
Wykari Wines,Clare Valley,www.wykariwines.com.au,PO Box 905, Clare, SA 5453            PO Box 905, Clare, SA 5453            Clare Valley            SA            5453,(08) 8842 1841,Not Available,Not,Neil Paulett,2006,1200,20 hectares,
White Dog Farm,Perth Hills,www.whitedogfarm.com.au,2035 Chittering Road, Lower Chittering, WA 6084                        Perth Hills            WA,(08) 9571 8880,Not Available,W'ends   public hols 12-4,Bella Ridge Wines (Alon Arbel),2007,90,2 hectares,
White Rock Vineyard,Northern Tasmania,www.whiterockwine.com.au,1171 Railton Road, Kimberley, Tas 7304 (postal)                        Northern Tasmania            TAS,0407 972 156,(03) 6497 2156,At Lake Barrington Estate,Winemaking Tasmania, Frogmore Creek,1992,400,3 hectares,
Whistling Kite Wines,Riverland,www.whistlingkitewines.com.au,73 Freundt Road, New Residence via Loxton, SA 5333                        Riverland,(08) 8584 9014,Not Available,By appt,919 Wines (Eric and Jenny Semmler),2010,360,16 hectares,
Whistling Eagle Vineyard,Heathcote,www.whistlingeagle.com,2769 Heathcote-Rochester Road, Colbinabbin, Vic 3559                        Heathcote            VIC,(03) 5432 9319,(03) 5432 9326,By appt,Ian Rathjen,1995,950,Not Available,
Whitsend Estate,Yarra Valley,www.whitsend.com.au,52 Boundary Road, Coldstream, Vic 3770                        Yarra Valley            VIC,(03) 9739 1917,(03) 9739 0217,By appt,Oakridge (David Bicknell),1998,200,13 hectares,
Whitechapel Wines,Barossa Valley,www.whitechapelwines.com.au,Gerry Semmler Road, Lyndoch, SA 5351                        Barossa Valley            SA,0438 822 409,(08) 8342 4028,By appt,Trevor Jones,1997,950,Not Available,
Whyworry Wines,New England,www.whyworrywines.com.au,376 Kingstown Road, Uralla, NSW 2358                        New England            NSW,(02) 6778 4147,(02) 6778 4147,W'ends 10-4,Gary McLean, Sean Cassidy,2000,3000,Not Available,
Whistler Wines,Barossa Valley,www.whistlerwines.com,Seppeltsfield Road, Marananga, SA 5355                        Barossa Valley            SA,(08) 8562 4942,(08) 8562 4943,7 days 10.30-5,Josh Pfeiffer,1999,5000,14.5 hectares,
Whitehorse Wines,Ballarat,,4 Reid Park Road, Mount Clear, Vic 3350                        Ballarat            VIC,(03) 5330 1719,(03) 5330 1288,W'ends 115,Noel Myers,1981,NA,Not Available,
Whitfield Estate,Great Southern,www.whitfieldestate.com.au,198 McIntyre Road, Scotsdale, Denmark, WA 6333            PO Box 869, Denmark            Great Southern            WA            6333,(08) 9840 9016,(08) 9840 9016,Thurs-Mon 10-5, 7 days during school hols,Dave Cleary, James Kellie,1994,2500,4.8 hectares,
Wharncliffe,Southern Tasmania,,Summerleas Road, Kingston, Tas 7050                        Southern Tasmania            TAS,0438 297 147,Not Available,W'ends by appt,Contract,1990,125,Not Available,
Sweetland Wines,Geelong,www.sweetland.com.au,146 Parker Road, Bannockburn, Vic 3331 (postal)                        Geelong            VIC,(03) 5281 1651,Not Available,Not,Lethbridge Wines (Ray Nadeson),2001,70,2.5 hectares,
Whicher Ridge,Geographe,www.whicherridge.com.au,200 Chapman Hill East Road, Busselton, WA 6280            PO Box 1060 Busselton             Geographe            WA            6280,(08) 9753 1394,(08) 9753 1394,Thurs-Mon 10-5,Cathy Howard,2004,1000,5 hectares,
Whinstone Estate,Mornington Peninsula,www.whinstone.com.au,295 Dunns Creek Road, Red Hill, Vic 3937                        Mornington Peninsula            VIC,(03) 5989 7217,(03) 5989 7641,W'ends,Montalto Estate (Simon Black),1994,1000,3 hectares,
Whale Coast Wines,Southern Fleurieu,,65 Ocean Street, Victor Harbor, SA 5211                        Southern Fleurieu            SA,(08) 8552 1444,(08) 8552 2611,By appt,Cascabel,1994,NA,Not Available,
Whisson Lake,Adelaide Hills,www.whissonlake.com,Lot 2, Gully Road, Carey Gully, SA 5144                        Adelaide Hills            SA,0421 739 789,(08) 8390 3822,By appt,Tom Munro,1985,250,5 hectares,
Whispering Brook,Hunter Valley,www.whispering-brook.com,Hill Street, Broke, NSW 2330                        Hunter Valley            NSW,(02) 9818 4126,(02) 9818 4156,W'ends 11-5, Fri by appt,Susan Frazier, Adam Bell,2000,2000,3 hectares,
Stringy Brae of Sevenhill,Clare Valley,www.stringybrae.com.au,Sawmill Road, Sevenhill, SA 5453                        Clare Valley            SA,(08) 8843 4313,(08) 8843 4319,By appt,O'Leary Walker,1991,2200,5 hectares,
Stockman's Ridge Wines,Orange,www.stockmansridge.com.au,21 Boree Lane, Lidster, NSW 2800                        Orange            NSW            2800,(02) 6365 6512,(02) 6365 6270,Thurs-Mon 1105,Jonathan Hambrook,2002,1500,3 hectares,
Sticks Yarra Valley,Yarra Valley,www.sticks.com.au,206 Yarraview Road, Yarra Glen, Vic 3775                        Yarra Valley            VIC,(03) 9224 1911,(03) 9730 1131,Not,Travis Bush, Tom Belford,2000,25 000,24 hectares,
Stonehurst Cedar Creek,Hunter Valley,www.stonehurst.com.au,1840 Wollombi Road, Cedar Creek, NSW 2325                        Hunter Valley            NSW,(02) 4998 1576,(02) 4998 0008,7 days 10-5,Tamburlaine,1995,4000,6.5 hectares,
Stringybark,Perth Hills,www.stringybarkwinery.com.au,2060 Chittering Road, Chittering, WA 6084                        Perth Hills            WA,(08) 9571 8069,(08) 9561 6547,Wed-Sat 12-late, Sun 9-8,Ryan Sudano,1985,525,2 hectares,
Straws Lane,Macedon Ranges,,1282 Mount Macedon Road, Hesket, Vic 3442                        Macedon Ranges            VIC,(03) 9654 9380,(03) 9663 6300,W'ends & public hols 10-4, or by appt,Stuart Anderson, John Ellis (Contract),1987,NA,Not Available,
Stage Door Wine Co,Eden Valley,www.stagedoorwineco.com.au,22 Whibley Street, Henley Beach, SA 5022                        Eden Valley            SA            5022,0400 991 968,Not Available,Not,Graeme Thredgold,2013,2500,Not Available,
St Margaret's Vineyard,Margaret River,www.stmargaretsvineyard.com.au,1654 Osmington Road, Margaret River, WA 6285                        Margaret River,0439 574 599,Not Available,By appt,Alex Scott, Naturaliste Vintners,1996,400,13.4 hectares,
Stargazer Wine,Tasmania,www.stargazerwine.com.au,37 Rosewood Lane, Tea Tree, Tas 7017            Tea Tree            Tasmania            TAS            7017,0408 173 335,Not Available,By appt,Samantha Connew,2012,1000,1 hectares,
Sirromet Wines,Granite Belt,www.sirromet.com,850-938 Mount Cotton Road, Mount Cotton, Qld 4165                        Granite Belt            QLD,(07) 3206 2999,(07) 3206 0900,7 days 9-4.30,Adam Chapman, Jessica Ferguson,1998,40 000,98.7 hectares,
Chris Ringland,Various,www.chrisringland.com,Franklin House, 6-8 Washington Street, Angaston, SA 5353                        Various,(08) 8564 3233,(08) 8564 3311,By appt,Chris Ringland,1989,150,2.05 hectares,
Stone Coast Wines,Wrattonbully,www.stonecoastwines.com,18 North Terrace, Adelaide, SA 5000 (postal)                        Wrattonbully            SA,(08) 8239 4949,(08) 8239 4959,Not,Peter Douglas,1997,20 000,44 hectares,
Stone Ridge,Granite Belt,,35 Limberlost Road, Glen Aplin, Qld 4381                        Granite Belt            QLD,(07) 4683 4211,(07) 4683 4211,7 days by appt,Jim Lawrie, Anne Kennedy,1981,NA,Not Available,
Stonefish,Various,www.stonefishwines.com.au,24 Kangarilla Road, McLaren Vale, SA 5171            McLaren Vale            Various            SA            5171,(02) 9668 9930,Not Available,Not,Contract, Peter Papanikitas,2000,10 000,Not Available,
Sterling Heights,Northern Tasmania,,PO Box 180, St Helens, Tas 7216                        Northern Tasmania            TAS,(03) 6376 1419,Not Available,By appt,Geoff Wells,1988,400,1 hectares,
Stonebrook Estate,Margaret River,www.stonebrookestate.com,1191 Vasse-Yallingup Road, Quindalup, WA 6280                        Margaret River            WA,(08) 9755 1104,(08) 9755 1001,By appt,John Durham (Consultant),1997,1000,Not Available,
Stonehaven,Padthaway,www.stonehavenwines.com.au,7089 Riddoch Highway, Padthaway, SA 5271                        Padthaway            SA,(08) 8765 6140,(08) 8765 6177,7 days 10-5,Grant Semmens, Leisha Slattery, Sean Carney,1998,500 000,400 hectares,
Stevens Brook Estate,Perricoota,,Lot 2 Tatalia Road, Moama, NSW 2731                        Perricoota            NSW,(03) 5480 2005,(03) 5480 2004,By appt,Greg Dedman (Dontract),1996,5000,5 hectares,
Stephen John Wines,Clare Valley,www.stephenjohnwines.com,Sollys Hill Road, Watervale, SA 5452                        Clare Valley            SA,(08) 8843 0105,(08) 8843 0105,7 days 11-5,Stephen John,1994,5000,5 hectares,
Stoney Rise,Northern Tasmania,www.stoneyrise.com,96 Hendersons Lane, Gravelly Beach, Tas 7276                        Northern Tasmania            TAS,(03) 6394 3678,(03) 6394 3684,Thurs-Mon 11-5,Joe Holyman,2000,2000,7.2 hectares,
Redbank,King Valley,www.redbankwines.com,Whitfield Road, King Valley, Vic 3678                        King Valley,0411 404 296,Not Available,Not,Nick Dry,2005,33 000,15 hectares,
Redbank Alpine Valleys Estates,King Valley,www.redbankwines.com,Whitfield Road, King Valley, Vic 3678                        King Valley            VIC,0411 404 296,(08) 8561 3411,Not,Nick Dry,2005,33 000,15 hectares,
Relbia Estate,Northern Tasmania,www.relbiaestate.com.au,1 Bridge Road, Launceston, Tas 7250                        Northern Tasmania,(03) 6332 1000,Not Available,Mon-Thurs 10-5, Fri-Sat 10-11,Ockie Myburgh,2011,2350,Not Available,
RedHeads Studio,South Australia,www.redheadswine.com,161 Murray Street            Tanunda            South Australia            SA            5352,0457 073 347,Not Available,By appt,Dan Graham,2003,10 000,Not Available,
This page is corked...,South Australia,www.redheadswine.com,161 Murray Street            Tanunda            South Australia            SA            5352,0457 073 347,Not Available,By appt,Dan Graham,2003,10 000,Not Available,
Remo   Son's Vineyard,South Coast Zone,,58 Blaxland Ridge Road, Kurrajong, NSW 2758                        South Coast Zone            NSW,(02) 4576 1539,(02) 4576 0072,W'ends by appt,Remo Crisante,1998,NA,Not Available,
Redman,Coonawarra,www.redman.com.au,Main Road, Coonawarra, SA 5263                        Coonawarra            SA            5263,(08) 8736 3331,(08) 8736 3013,Mon?Fri 9?5, w'ends 10?4,Bruce, Malcolm and Daniel Redman,1966,18 000,34 hectares,
Renzaglia Wines,Central Ranges Zone,www.renzagliawines.com.au,38 Bosworth Falls Road, O'Connell, NSW 2795                        Central Ranges Zone,(02) 6337 5756,Not Available,By appt,Mark Renzaglia,2011,2000,5 hectares,
Reedy Creek Estate,New England,www.reedycreekwine.com.au,6617 Bruxner Way, Tenterfield, NSW 2372                        New England            NSW,(02) 6737 5221,(02) 6737 5200,7 days 9?5,Gino De Stefani,1971,2500,8 hectares,
